Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Bond - Maturity Date	Data Source URL
AP3	ALFA LAVAL AB	Corporates	XS3096165025	2025-08-26	178,062	EUR	9/18/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALFA LAVAL AB	Corporates	XS3099831656	2025-08-26	100,894	SEK	6/19/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLIANDER NV	Corporates	XS2829852842	2025-08-26	69,895	EUR	3/27/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLIANZ SE	Corporates	USX10001AB51	2025-08-26	490,002	USD	10/30/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLSTATE CORP	Corporates	US020002BB69	2025-08-26	57,743	USD	8/15/2025	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AP MOLLER - MAERSK A/S	Corporates	USK0479SAG32	2025-08-26	458,905	USD	9/14/2033	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APPLE INC	Corporates	US037833DU14	2025-08-26	85,088	USD	5/11/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APPLE INC	Corporates	2	2025-08-26	357,343	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARKEMA SA	Corporates	FR0013478252	2025-08-26	145,844	EUR	10/21/2025	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASSA ABLOY AB	Corporates	XS2678207676	2025-08-26	116,912	EUR	9/13/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	Corporates	US046353AT52	2025-08-26	193,170	USD	1/17/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	Corporates	8	2025-08-26	344,027	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
