Shareholder - Name	Issuer - Name	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP3	ARISE AB	SE0002095604	2025-02-11	145,263	SEK	3952723	9.25	9.25	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BOULE DIAGNOSTICS INTERNATIONAL	SE0011231158	2025-02-11	22,913	SEK	2551542	6.57	6.57	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BALCO GROUP AB	SE0010323998	2025-02-11	42,350	SEK	1100000	4.78	4.78	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IAR SYSTEMS GROUP AB	SE0005851706	2025-02-11	78,430	SEK	620000	4.44	4.44	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASADGRUPPEN GROUP AB	SE0015195771	2025-02-11	98,935	SEK	2150762	4.00	4.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXATRONIC GROUP AB	SE0018040677	2025-02-11	297,995	SEK	8236450	3.95	4.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BICO GROUP AB	SE0013647385	2025-02-11	88,091	SEK	2751114	3.90	3.27	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XSPRAY PHARMA AB	SE0009973563	2025-02-11	59,273	SEK	1429998	3.85	3.85	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INTEA FASTIGHETER AB	SE0017072259	2025-02-11	390,250	SEK	8750000	3.40	2.78	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RVRC HOLDING AB	SE0015962485	2025-02-11	152,487	SEK	3721000	3.40	3.40	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NIVIKA FASTIGHETER AB-B	SE0017083272	2025-02-11	127,748	SEK	3169928	3.31	0.99	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BIOTAGE AB	SE0000454746	2025-02-11	423,496	SEK	2633681	3.25	3.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRISMA PROPERTIES AB	SE0022062055	2025-02-11	119,000	SEK	5000000	3.04	3.04	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ACTIVE BIOTECH AB	SE0001137985	2025-02-11	3,931	SEK	36135039	2.94	2.94	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RUSTA AB	SE0020848356	2025-02-11	330,169	SEK	4416983	2.91	2.91	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MILDEF GROUP AB	SE0016074249	2025-02-11	165,064	SEK	1322626	2.90	2.90	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MOMENTUM GROUP B	SE0017562523	2025-02-11	254,653	SEK	1432245	2.84	2.58	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HANZA AB	SE0005878543	2025-02-11	92,458	SEK	1205447	2.76	2.76	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDLIFE AB-B	SE0014401378	2025-02-11	456,692	SEK	3326237	2.72	2.03	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GRANGES AB	SE0006288015	2025-02-11	376,510	SEK	2858847	2.69	2.69	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CTT SYSTEMS AB	SE0000418923	2025-02-11	93,736	SEK	333581	2.66	2.66	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SIVERS SEMICONDUCTORS AB	SE0003917798	2025-02-11	18,996	SEK	6000000	2.52	2.52	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SYSTEMAIR AB	SE0016609499	2025-02-11	452,788	SEK	5104712	2.45	2.45	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAGAX AB-B	SE0005127818	2025-02-11	2,578,521	SEK	11399298	2.44	1.62	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTPARTNER AB-A	SE0013512506	2025-02-11	304,816	SEK	4762753	2.41	2.58	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CIBUS NORDIC REAL ESTAT PUBL	SE0010832204	2025-02-11	262,538	SEK	1490000	2.37	2.37	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GARO AB	SE0015812417	2025-02-11	26,565	SEK	1150000	2.30	2.30	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTIGHETSBOLAGET EMILSHUS-B	SE0016785786	2025-02-11	133,484	SEK	3068595	2.28	1.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATTENDO AB	SE0007666110	2025-02-11	184,322	SEK	3614158	2.26	2.26	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TROAX GROUP AB	SE0012729366	2025-02-11	294,489	SEK	1308840	2.18	2.18	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELANDERS AB-B SHS	SE0000119299	2025-02-11	66,013	SEK	751856	2.13	1.45	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VITEC SOFTWARE GROUP AB-B SH	SE0007871363	2025-02-11	429,631	SEK	789763	1.98	1.27	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOLATO AB-B SHS	SE0015962477	2025-02-11	280,532	SEK	5175870	1.92	1.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AQ GROUP AB	SE0022062196	2025-02-11	241,500	SEK	1725000	1.89	1.89	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	COOR SERVICE MANAGEMENT	SE0007158829	2025-02-11	61,545	SEK	1794313	1.87	1.87	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DOMETIC GROUP AB	SE0007691613	2025-02-11	297,282	SEK	5716970	1.79	1.79	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VICORE PHARMA HOLDING AB	SE0007577895	2025-02-11	32,973	SEK	3902100	1.66	1.66	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELECTROLUX AB-B	SE0016589188	2025-02-11	430,314	SEK	4682417	1.65	1.31	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BIOGAIA AB-B SHS	SE0017769995	2025-02-11	182,397	SEK	1630000	1.61	1.21	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
