Shareholder - Name	Issuer - Name	Issuer - Country Name	Security - ISIN	Security - Report Date	Security - Market Value	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP4	4C GROUP AB	SE	SE0014401378	2026-02-18	384 	2 837 857	0,06	0,04	https://www.ap4.se/en/reports/holdings/
AP4	AAK AB	SE	SE0017885767	2026-02-18	768 	471 575	3,64	3,64	https://www.ap4.se/en/reports/holdings/
AP4	ADDLIFE AB-B	SE	SE0014781795	2026-02-18	57 	2 410 912	5,70	4,25	https://www.ap4.se/en/reports/holdings/
AP4	ADDNODE GROUP AB	SE	SE0006219473	2026-02-18	32 	7 921 395	0,07	0,07	https://www.ap4.se/en/reports/holdings/
AP4	ADDTECH AB-B SHARES	SE	SE0005999836	2026-02-18	969 	174 240	0,25	0,25	https://www.ap4.se/en/reports/holdings/
AP4	ADVENICA AB	SE	SE0000695876	2026-02-18	625 	1 600 000	1,97	1,47	https://www.ap4.se/en/reports/holdings/
AP4	AFRY AB	SE	SE0007158910	2026-02-18	175 	6 458 329	1,12	1,12	https://www.ap4.se/en/reports/holdings/
AP4	ALFA LAVAL AB	SE	SE0017615644	2026-02-18	108 	1 341 047	0,53	0,53	https://www.ap4.se/en/reports/holdings/
AP4	ALIMAK GROUP AB	SE	SE0009922305	2026-02-18	80 	1 208 568	1,23	1,12	https://www.ap4.se/en/reports/holdings/
AP4	ALLEIMA AB	SE	SE0010468116	2026-02-18	824 	1 320 000	9,45	5,90	https://www.ap4.se/en/reports/holdings/
AP4	ALLIGO AB-B	SE	SE0023615638	2026-02-18	137 	625 085	0,55	0,41	https://www.ap4.se/en/reports/holdings/
AP4	ARJO AB - B SHARES	SE	SE0007100581	2026-02-18	36 	25 742 921	0,01	0,01	https://www.ap4.se/en/reports/holdings/
AP4	ASMODEE GROUP AB-B	SE	SE0017486889	2026-02-18	1 045 	1 288 808	0,06	0,09	https://www.ap4.se/en/reports/holdings/
AP4	ASSA ABLOY AB-B	SE	SE0017486897	2026-02-18	5 321 	100 000	0,36	0,05	https://www.ap4.se/en/reports/holdings/
AP4	ATLAS COPCO AB-A SHS	SE	SE0021309614	2026-02-18	28 	6 290 640	0,03	0,03	https://www.ap4.se/en/reports/holdings/
AP4	ATLAS COPCO AB-B SHS	SE	SE0012454072	2026-02-18	1 040 	35 713 787	0,93	0,93	https://www.ap4.se/en/reports/holdings/
AP4	AUTOLIV INC-SWED DEP RECEIPT	SE	SE0006993770	2026-02-18	36 	25 000	0,06	0,06	https://www.ap4.se/en/reports/holdings/
AP4	AVANZA BANK HOLDING AB	SE	SE0005878741	2026-02-18	69 	2 945 236	9,92	4,89	https://www.ap4.se/en/reports/holdings/
AP4	AXFOOD AB	SE	SE0011090547	2026-02-18	252 	125 000	1,41	0,72	https://www.ap4.se/en/reports/holdings/
AP4	BACTIGUARD HOLDING AB	SE	SE0015949748	2026-02-18	3 000 	3 475 992	1,98	1,32	https://www.ap4.se/en/reports/holdings/
AP4	BEIJER ALMA AB	SE	SE0010948588	2026-02-18	179 	846 678	3,12	3,12	https://www.ap4.se/en/reports/holdings/
AP4	BEIJER REF AB	SE	SE0013647385	2026-02-18	95 	20 119 432	6,38	5,35	https://www.ap4.se/en/reports/holdings/
AP4	BHG GROUP AB	SE	SE0000862997	2026-02-18	1 507 	5 600 000	3,22	3,22	https://www.ap4.se/en/reports/holdings/
AP4	BICO GROUP AB	SE	SE0010323311	2026-02-18	1 579 	4 500 000	5,73	2,33	https://www.ap4.se/en/reports/holdings/
AP4	BILLERUD AB	SE	SE0017769995	2026-02-18	878 	16 051 915	8,17	6,60	https://www.ap4.se/en/reports/holdings/
AP4	BIOARCTIC AB	SE	SE0015244520	2026-02-18	118 	5 080 000	6,08	6,08	https://www.ap4.se/en/reports/holdings/
AP4	BIOGAIA AB-B SHS	SE	SE0020050417	2026-02-18	208 	8 265 000	0,04	0,04	https://www.ap4.se/en/reports/holdings/
AP4	BIOINVENT INTERNATIONAL AB	SE	SE0008091573	2026-02-18	4 	4 000 000	0,12	0,67	https://www.ap4.se/en/reports/holdings/
AP4	BOLIDEN AB	SE	SE0008091581	2026-02-18	207 	403 038	5,80	3,18	https://www.ap4.se/en/reports/holdings/
