Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
bpfBOUW	Commercial International Bank - Egypt (CIB)	2025-09-30	5315	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Absa Group Ltd	2025-09-30	7397	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Anglogold Ashanti Plc	2025-09-30	93652	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Aspen Pharmacare Holdings Ltd	2025-09-30	1683	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Bid Corp Ltd	2025-09-30	5564	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Bidvest Group Ltd	2025-09-30	2366	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Capitec Bank Holdings Ltd	2025-09-30	59687	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Clicks Group Ltd	2025-09-30	40553	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Discovery Ltd	2025-09-30	4497	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	E Media Holdings Ltd	2025-09-30	17	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	FirstRand Ltd	2025-09-30	81675	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Foschini Group Ltd	2025-09-30	3342	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Gold Fields Ltd	2025-09-30	180129	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
