Shareholder - Name	Issuer - Name	Security - Report Date	Data Source URL
KPA	3M Company	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Aak AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	ABB Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Abbott Laboratories	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AbbVie Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Accenture PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Addlife AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AddTech AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Adidas AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Adobe Systems Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Advanced Micro Devices Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Advantest Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Adyen NV	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Aeon Co Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Agilent Technologies Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Agnico-Eagle Mines Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AIA Group Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AIB Group PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Airbnb Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Aker BP ASA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Alcon Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Alexandria Real Estate Equities Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Alfa Laval AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Allegion PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Allianz SE	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Alnylam Pharmaceuticals Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Alphabet Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Amadeus IT Group SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Amazon.com Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	American Express Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	American International Group Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	American Tower Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	American Water Works Co Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Ameriprise Financial Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Amgen Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Anglo American PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Annaly Capital Management Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Antofagasta PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Aon PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Apollo Global Management Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Apple Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Applied Materials Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AppLovin Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Aptiv Holdings Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Archer-Daniels-Midland Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Argenx SE	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Arista Networks Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Arthur J Gallagher & Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Asahi Kasei Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Ashtead Group PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	ASM International NV	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	ASML Holding NV	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Asmodee Group AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Assa Abloy AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AstraZeneca PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AT&T Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Atlas Copco AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Atlassian Corp PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Australia & New Zealand Bankin	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Autodesk Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Automatic Data Processing Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	AutoZone Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Aviva PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Axon Enterprise Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Baker Hughes Company	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Banco Bilbao Vizcaya Argentaria	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Banco Santander SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bank of America Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bank of Montreal	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bank of Nova Scotia	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Barclays PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	BASF SE	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bayerische Motoren Werke AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Becton Dickinson and Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Berkshire Hathaway Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bilia AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Billerud AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	BlackRock Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Blackstone Group Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	BNP Paribas SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Boliden AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Booking Holdings Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Boston Scientific Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bouygues SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Brambles Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Brenntag SE	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bridgestone Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Bristol-Myers Squibb Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Broadcom Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Brookfield Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Builders FirstSource Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
