Shareholder - Name	Issuer - Name	Security - Report Date	Security - Type	Data Source URL
AMF Pension	AAK	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	ABB	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Addlife	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Addtech	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Alfa Laval	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Assa Abloy	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	AstraZeneca	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Atlas Copco	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Avanza	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Beijer Ref	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Billerud	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Bure	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Corem Property	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Electrolux	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Elekta	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Epiroc	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	EQT	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Ericsson	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Essity	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Fastighets Balder	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Getinge	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Hennes & Mauritz	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Hexagon	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Hufvudstaden	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Indutrade	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Investor	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	JM	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Latour Investment	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Nibe	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Nordnet	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Pandox	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Polestar Automotive	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	SAAB	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
