Shareholder - Name	Issuer - Name	Issuer - Country Code	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
ap2	ADDNODE GROUP AB	SE	SE0017885767	2025-12-31	844 626	8 716 473	x1_000	6,38%	5,07%	https://ap2.se/en/asset-management/holdings/
ap2	ADDTECH	SE	SE0014781795	2025-12-31	1 276 311	3 898 322	x1_000	1,43%	1,00%	https://ap2.se/en/asset-management/holdings/
ap2	AFRY	SE	SE0005999836	2025-12-31	135 108	900 719	x1_000	0,80%	0,59%	https://ap2.se/en/asset-management/holdings/
ap2	ALCADON GROUP AB	SE	SE0008732218	2025-12-31	53 313	2 132 524	x1_000	8,70%	8,70%	https://ap2.se/en/asset-management/holdings/
ap2	ALFA LAVAL	SE	SE0000695876	2025-12-31	1 526 825	3 278 560	x1_000	0,79%	0,79%	https://ap2.se/en/asset-management/holdings/
ap2	ALIMAK GROUP AB	SE	SE0007158910	2025-12-31	167 314	1 152 300	x1_000	1,07%	1,07%	https://ap2.se/en/asset-management/holdings/
ap2	AQ GROUP AB	SE	SE0022062196	2025-12-31	149 372	757 465	x1_000	0,83%	0,83%	https://ap2.se/en/asset-management/holdings/
ap2	ÅRHUSKARLSHAMN AB	SE	SE0011337708	2025-12-31	519 802	1 970 438	x1_000	0,76%	0,76%	https://ap2.se/en/asset-management/holdings/
ap2	ASMODEE GROUP AB	SE	SE0023615638	2025-12-31	633 451	5 979 338	x1_000	2,56%	1,90%	https://ap2.se/en/asset-management/holdings/
ap2	ASSA ABLOY B	SE	SE0007100581	2025-12-31	1 975 252	5 503 628	x1_000	0,49%	0,34%	https://ap2.se/en/asset-management/holdings/
ap2	ATLAS COPCO A	SE	SE0017486889	2025-12-31	1 412 629	8 507 251	x1_000	0,17%	0,24%	https://ap2.se/en/asset-management/holdings/
ap2	ATLAS COPCO B	SE	SE0017486897	2025-12-31	20 378	136 762	x1_000	0,00%	0,00%	https://ap2.se/en/asset-management/holdings/
ap2	AVANZA AB	SE	SE0012454072	2025-12-31	1 456 034	4 123 574	x1_000	2,61%	2,61%	https://ap2.se/en/asset-management/holdings/
ap2	BEIJER ALMA B	SE	SE0011090547	2025-12-31	70 080	235 564	x1_000	0,39%	0,20%	https://ap2.se/en/asset-management/holdings/
ap2	BERGMAN & BEVING AB	SE	SE0000101362	2025-12-31	126 114	389 841	x1_000	1,42%	1,05%	https://ap2.se/en/asset-management/holdings/
ap2	BIOARCTIC AB	SE	SE0010323311	2025-12-31	126 771	407 887	x1_000	0,46%	0,19%	https://ap2.se/en/asset-management/holdings/
ap2	BIOGAIA B	SE	SE0017769995	2025-12-31	43 116	405 989	x1_000	0,40%	0,32%	https://ap2.se/en/asset-management/holdings/
ap2	BOLIDEN	SE	SE0020050417	2025-12-31	405 905	787 860	x1_000	0,28%	0,28%	https://ap2.se/en/asset-management/holdings/
ap2	BONESUPPORT HOLDING AB	SE	SE0009858152	2025-12-31	79 320	421 914	x1_000	0,63%	0,64%	https://ap2.se/en/asset-management/holdings/
ap2	BOOZT AB	SE	SE0009888738	2025-12-31	26 673	235 000	x1_000	0,37%	0,37%	https://ap2.se/en/asset-management/holdings/
