Shareholder - Name	Issuer - Name	Issuer - Country Code	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP2	ADDNODE GROUP AB	SE	SE0017885767	2025-12-31	844 626	x1_000	8 716 473	6,38%	5,07%	https://ap2.se/en/asset-management/holdings/
AP2	ADDTECH	SE	SE0014781795	2025-12-31	1 276 311	x1_000	3 898 322	1,43%	1,00%	https://ap2.se/en/asset-management/holdings/
AP2	AFRY	SE	SE0005999836	2025-12-31	135 108	x1_000	900 719	0,80%	0,59%	https://ap2.se/en/asset-management/holdings/
AP2	ALCADON GROUP AB	SE	SE0008732218	2025-12-31	53 313	x1_000	2 132 524	8,70%	8,70%	https://ap2.se/en/asset-management/holdings/
AP2	ALFA LAVAL	SE	SE0000695876	2025-12-31	1 526 825	x1_000	3 278 560	0,79%	0,79%	https://ap2.se/en/asset-management/holdings/
AP2	ALIMAK GROUP AB	SE	SE0007158910	2025-12-31	167 314	x1_000	1 152 300	1,07%	1,07%	https://ap2.se/en/asset-management/holdings/
AP2	AQ GROUP AB	SE	SE0022062196	2025-12-31	149 372	x1_000	757 465	0,83%	0,83%	https://ap2.se/en/asset-management/holdings/
AP2	ÅRHUSKARLSHAMN AB	SE	SE0011337708	2025-12-31	519 802	x1_000	1 970 438	0,76%	0,76%	https://ap2.se/en/asset-management/holdings/
AP2	ASMODEE GROUP AB	SE	SE0023615638	2025-12-31	633 451	x1_000	5 979 338	2,56%	1,90%	https://ap2.se/en/asset-management/holdings/
AP2	ASSA ABLOY B	SE	SE0007100581	2025-12-31	1 975 252	x1_000	5 503 628	0,49%	0,34%	https://ap2.se/en/asset-management/holdings/
AP2	ATLAS COPCO A	SE	SE0017486889	2025-12-31	1 412 629	x1_000	8 507 251	0,17%	0,24%	https://ap2.se/en/asset-management/holdings/
AP2	ATLAS COPCO B	SE	SE0017486897	2025-12-31	20 378	x1_000	136 762	0,00%	0,00%	https://ap2.se/en/asset-management/holdings/
