Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	SLB LTD	Equity	AN8068571086	2026-02-23	23,386	USD	SLB US	66,269.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AUSTRALIAN FINANCE GROUP LTD	Equity	AU000000AFG9	2026-02-23	29	AUD	AFG AU	2,172.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARISTOCRAT LEISURE LTD	Equity	AU000000ALL7	2026-02-23	45,423	AUD	ALL AU	126,724.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ANZ GROUP HOLDINGS LTD	Equity	AU000000ANZ3	2026-02-23	62,627	AUD	ANZ AU	279,728.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APA GROUP	Equity	AU000000APA1	2026-02-23	2,386	AUD	APA AU	43,168.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BENDIGO AND ADELAIDE BANK	Equity	AU000000BEN6	2026-02-23	337	AUD	BEN AU	5,196.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BHP GROUP LTD	Equity	AU000000BHP4	2026-02-23	640,063	AUD	BHP AU	2,283,832.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BRAMBLES LTD	Equity	AU000000BXB1	2026-02-23	16,435	AUD	BXB AU	116,187.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	COMMONWEALTH BANK OF AUSTRAL	Equity	AU000000CBA7	2026-02-23	203,697	AUD	CBA AU	205,910.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	COMPUTERSHARE LTD	Equity	AU000000CPU5	2026-02-23	22,260	AUD	CPU AU	105,831.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CHARTER HALL RETAIL REIT	Equity	AU000000CQR9	2026-02-23	18,447	AUD	CQR AU	735,681.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CSL LTD	Equity	AU000000CSL8	2026-02-23	164,589	AUD	CSL AU	154,736.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DOWNER EDI LTD	Equity	AU000000DOW2	2026-02-23	15,134	AUD	DOW AU	308,983.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
