Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	ALFA LAVAL AB	Corporates	2025-08-26	178,062	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALFA LAVAL AB	Corporates	2025-08-26	100,894	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLIANDER NV	Corporates	2025-08-26	69,895	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLIANZ SE	Corporates	2025-08-26	490,002	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLSTATE CORP	Corporates	2025-08-26	57,743	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AP MOLLER - MAERSK A/S	Corporates	2025-08-26	458,905	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APPLE INC	Corporates	2025-08-26	85,088	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APPLE INC	Corporates	2025-08-26	357,343	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARKEMA SA	Corporates	2025-08-26	145,844	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASSA ABLOY AB	Corporates	2025-08-26	116,912	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	Corporates	2025-08-26	193,170	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	Corporates	2025-08-26	344,027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AUTOLIV INC	Corporates	2025-08-26	70,699	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AUTOLIV INC	Corporates	2025-08-26	509,567	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BAYERISCHE MOTOREN WERKE AG	Corporates	2025-08-26	179,349	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BAYERISCHE MOTOREN WERKE AG	Corporates	2025-08-26	97,523	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BAYERISCHE MOTOREN WERKE AG	Corporates	2025-08-26	101,344	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BAYERISCHE MOTOREN WERKE AG	Corporates	2025-08-26	151,236	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BAYERISCHE MOTOREN WERKE AG	Corporates	2025-08-26	167,277	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BCE INC	Corporates	2025-08-26	100,109	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BNP PARIBAS SA	Corporates	2025-08-26	228,698	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BNP PARIBAS SA	Corporates	2025-08-26	281,497	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CREDIT AGRICOLE GROUP	Corporates	2025-08-26	58,962	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CREDIT AGRICOLE GROUP	Corporates	2025-08-26	120,741	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CREDIT AGRICOLE GROUP	Corporates	2025-08-26	135,769	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CREDIT AGRICOLE GROUP	Corporates	2025-08-26	89,042	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DAIMLER TRUCK HOLDING AG	Corporates	2025-08-26	144,490	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DAIMLER TRUCK HOLDING AG	Corporates	2025-08-26	48,902	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DAIMLER TRUCK HOLDING AG	Corporates	2025-08-26	132,444	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DAIMLER TRUCK HOLDING AG	Corporates	2025-08-26	134,299	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DAIMLER TRUCK HOLDING AG	Corporates	2025-08-26	172,150	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DXC TECHNOLOGY CO	Corporates	2025-08-26	31,852	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DXC TECHNOLOGY CO	Corporates	2025-08-26	142,805	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	E MERCK KG	Corporates	2025-08-26	184,068	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
