Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	AAK AB	EQUITY	SE0011337708	2025-08-26	426,496	SEK		1718357	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ABB LTD-REG	EQUITY	CH0012221716	2025-08-26	2,147,881	SEK		3794843	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	YUBICO AB	EQUITY	SE0015657788	2025-08-26	42,796	SEK		314211	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDLIFE AB-B	EQUITY	SE0014401378	2025-08-26	481,185	SEK		2550000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDNODE GROUP AB	EQUITY	SE0017885767	2025-08-26	27,700	SEK		250000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDTECH AB-B SHARES	EQUITY	SE0014781795	2025-08-26	771,379	SEK		2395588	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AFRY AB	EQUITY	SE0005999836	2025-08-26	373,126	SEK		2361558	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALFA LAVAL AB	EQUITY	SE0000695876	2025-08-26	1,181,690	SEK		2970562	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLEIMA AB	EQUITY	SE0017615644	2025-08-26	59,800	SEK		800000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AMBEA AB	EQUITY	SE0009663826	2025-08-26	29,302	SEK		260000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APOTEA SVERIGE AB	EQUITY	SE0023313762	2025-08-26	4,016	SEK		45534	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AQ GROUP AB	EQUITY	SE0022062196	2025-08-26	220,576	SEK		1220000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARISE AB	EQUITY	SE0002095604	2025-08-26	135,381	SEK		3952723	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARJO AB - B SHARES	EQUITY	SE0010468116	2025-08-26	11,851	SEK		350000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASKER HEALTHCARE GROUP AB	EQUITY	SE0024171458	2025-08-26	934,286	SEK		8571428	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASSA ABLOY AB-B	EQUITY	SE0007100581	2025-08-26	980,242	SEK		3320602	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	EQUITY	GB0009895292	2025-08-26	2,668,886	SEK		2008947	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATLAS COPCO AB-A SHS	EQUITY	SE0017486889	2025-08-26	333,213	SEK		2180000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATLAS COPCO AB-B SHS	EQUITY	SE0017486897	2025-08-26	4,594,007	SEK		34168891	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATRIUM LJUNGBERG AB-B SHS	EQUITY	SE0024320832	2025-08-26	21,980	SEK		650000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATTENDO AB	EQUITY	SE0007666110	2025-08-26	182,256	SEK		2874708	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AUTOLIV INC-SWED DEP RECEIPT	EQUITY	SE0021309614	2025-08-26	445,268	SEK		420064	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AVANZA BANK HOLDING AB	EQUITY	SE0012454072	2025-08-26	530,924	SEK		1655516	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AXFOOD AB	EQUITY	SE0006993770	2025-08-26	78,204	SEK		279698	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
