Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Exchange	Stock - Number of Shares	Stock - Percent Ownership	Data Source URL
AP7	Nvidia Corp	Equity Like	2025-12-30	64869888109	USD	9.19465	37619588	4,74%	https://www.ap7.se/english/ap7-equity-fund/
AP7	APPLE INC	Equity Like	2025-12-30	57838101545	USD	9.19465	23035038	4,22%	https://www.ap7.se/english/ap7-equity-fund/
AP7	Microsoft Corp	Equity Like	2025-12-30	48745611953	USD	9.19465	10875357	3,56%	https://www.ap7.se/english/ap7-equity-fund/
AP7	Amazon.com Inc	Equity Like	2025-12-30	31513733806	USD	9.19465	14739599	2,3%	https://www.ap7.se/english/ap7-equity-fund/
AP7	ALPHABET INC-CL A	Equity Like	2025-12-30	26706891418	USD	9.19465	9254778	1,95%	https://www.ap7.se/english/ap7-equity-fund/
AP7	TAIWAN SEMICONDUCTOR MANUFAC	Equity Like	2025-12-30	26059797454	TWD	0.29310328	58493387	1,9%	https://www.ap7.se/english/ap7-equity-fund/
AP7	BROADCOM INC	Equity Like	2025-12-30	22255964170	USD	9.19465	6918777	1,63%	https://www.ap7.se/english/ap7-equity-fund/
AP7	ALPHABET INC-CL C	Equity Like	2025-12-30	21469102465	USD	9.19465	7423163	1,57%	https://www.ap7.se/english/ap7-equity-fund/
AP7	META PLATFORMS INC-CLASS A	Equity Like	2025-12-30	20560563496	USD	9.19465	3357826	1,5%	https://www.ap7.se/english/ap7-equity-fund/
AP7	HarbourVest Global Private Solution	Equity Like	2025-12-30	13031446308	USD	9.19465	10676424	0,95%	https://www.ap7.se/english/ap7-equity-fund/
AP7	JPMORGAN CHASE & CO	Equity Like	2025-12-30	12683946654	USD	9.19465	4265327	0,93%	https://www.ap7.se/english/ap7-equity-fund/
AP7	ELI LILLY & CO	Equity Like	2025-12-30	11974346319	USD	9.19465	1206128	0,87%	https://www.ap7.se/english/ap7-equity-fund/
AP7	BERKSHIRE HATHAWAY INC-CL B	Equity Like	2025-12-30	9511466692	USD	9.19465	2053675	0,69%	https://www.ap7.se/english/ap7-equity-fund/
AP7	SAMSUNG ELECTRONICS CO LTD	Equity Like	2025-12-30	8606452664	KRW	0.00638274	11245994	0,63%	https://www.ap7.se/english/ap7-equity-fund/
AP7	VISA INC-CLASS A SHARES	Equity Like	2025-12-30	8191695516	USD	9.19465	2519427	0,6%	https://www.ap7.se/english/ap7-equity-fund/
AP7	Hamilton Lane AP7 Private Equity Investments LLC	Equity Like	2025-12-30	7307519588	USD	9.19465	1203056	0,53%	https://www.ap7.se/english/ap7-equity-fund/
AP7	JOHNSON & JOHNSON	Equity Like	2025-12-30	7099767397	USD	9.19465	3731878	0,52%	https://www.ap7.se/english/ap7-equity-fund/
AP7	Fastighet Urban Escape KB	Equity Like	2025-12-30	6889552654	SEK	1	498	0,5%	https://www.ap7.se/english/ap7-equity-fund/
