Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
bpfBOUW	Commercial International Bank - Egypt (CIB)	2025-12-31	5990	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Anglogold Ashanti Plc	2025-12-31	116176	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Aspen Pharmacare Holdings Ltd	2025-12-31	2116	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Bid Corp Ltd	2025-12-31	5163	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Bidvest Group Ltd	2025-12-31	2810	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Capitec Bank Holdings Ltd	2025-12-31	111309	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Clicks Group Ltd	2025-12-31	54225	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Discovery Ltd	2025-12-31	8392	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	FirstRand Ltd	2025-12-31	43764	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Gold Fields Ltd	2025-12-31	266583	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Growthpoint Properties Ltd	2025-12-31	2148	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Impala Platinum Holdings Ltd	2025-12-31	50456	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Investec Ltd	2025-12-31	2885	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	JSE Ltd	2025-12-31	77	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Momentum Group Ltd	2025-12-31	6955	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Mr Price Group Ltd	2025-12-31	4629	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Naspers Ltd	2025-12-31	255684	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	NEPI Rockcastle NV	2025-12-31	9852	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
bpfBOUW	Netcare Ltd	2025-12-31	97	x100	EUR	https://www.bpfbouw.nl/over-bpfbouw/hoe-we-beleggen
