Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Staat der Nederlanden	2024-06-04	1.680.293	x1_000	EUR	10,34%	https://www.bplpensioen.nl/beleggen
BPL Pension	Federal Republic of Germany	2024-06-04	1.499.830	x1_000	EUR	9,23%	https://www.bplpensioen.nl/beleggen
BPL Pension	French Republic Government	2024-06-04	393.664	x1_000	EUR	2,42%	https://www.bplpensioen.nl/beleggen
BPL Pension	Republic of Austria	2024-06-04	372.522	x1_000	EUR	2,29%	https://www.bplpensioen.nl/beleggen
BPL Pension	Finland	2024-06-04	150.564	x1_000	EUR	0,93%	https://www.bplpensioen.nl/beleggen
BPL Pension	2I RETE GAS SPA	2024-06-04	2.514	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	A2A SpA	2024-06-04	162	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	ABANCA CORP BANCARIA SA	2024-06-04	6.9251819400	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	ABB International Finance Ltd	2024-06-04	1.459	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Abertis Infraestructuras	2024-06-04	1.487	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ABN AMRO Bank NV	2024-06-04	6.055	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	ACCIONA ENERGIA FINANCIA	2024-06-04	5.163	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Acea Spa	2024-06-04	1.910	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ACEF HOLDING SCA	2024-06-04	1.381	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Adp	2024-06-04	2.360	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Aegon NV	2024-06-04	2.43877	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Ageas Hybrid Financing SA	2024-06-04	880888	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	AKELIUS RESIDENTIAL AB	2024-06-04	3.364	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	ALD SA	2024-06-04	5.668	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Allianz Finance II B.V.	2024-06-04	8.095	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	ALPERIA SPA	2024-06-04	105	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Amadeus Capital Markets	2024-06-04	403	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	American Tower Corp	2024-06-04	4.400	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	AMPRION GMBH	2024-06-04	3.546	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Anglo American Capital PLC	2024-06-04	2.685	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Anheuser Busch InBev NV	2024-06-04	1.676	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ARGENTA SPAARBANK	2024-06-04	1.476	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ARION BANKI HF	2024-06-04	2.658	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Aroundtown SA	2024-06-04	8.661	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	ASB Finance Ltd.	2024-06-04	3.850	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Asr Nederland Nv	2024-06-04	949	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Assa Abloy AB	2024-06-04	1.750	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	AT&T Inc	2024-06-04	4.620	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	ATHENE HOLDING LTD	2024-06-04	11.447	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	ATHORA NETHERLANDS	2024-06-04	6.833	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Atlas Copco AB	2024-06-04	283	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	AUSNET SERVICES HOLDINGS	2024-06-04	1.773	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Autostrada Torino-Milano SpA	2024-06-04	1.007	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Axa Bank Europe Scf	2024-06-04	8.647	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	AXA LOGISTICS EUROPE	2024-06-04	91	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Banca BPM Spa	2024-06-04	7.625	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Banca Monte dei Paschi di Sien	2024-06-04	2.521	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Banco de Sabadell SA	2024-06-04	2.697	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Banco Santander SA	2024-06-04	18.060	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bank of America Corp	2024-06-04	13.474	x1_000	EUR	0,08%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bank of Nova Scotia	2024-06-04	10.701	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bankinter SA	2024-06-04	2.983	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Banque Federative Credit Mutuel	2024-06-04	25.975	x1_000	EUR	0,16%	https://www.bplpensioen.nl/beleggen
BPL Pension	BARCLAYS BANK PLC	2024-06-04	2.260	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bayerische Motoren Werke	2024-06-04	6.878	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Becton Dickinson	2024-06-04	5.976	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Berlin-Hannoversche Hypothekenbank AG	2024-06-04	10.879	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bertelsmann AG	2024-06-04	4.624	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Blackstone Holdings Fina	2024-06-04	690	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	BLACKSTONE PP EUR HOLD	2024-06-04	3.934	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	BNP Paribas	2024-06-04	29.895	x1_000	EUR	0,18%	https://www.bplpensioen.nl/beleggen
BPL Pension	BNP Paribas Fortis SA	2024-06-04	5.770	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
