Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Report Date URL
Danica Pension	Nvidia Corp. (US)	31-12-2025	9.655	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Microsoft Corp.	31-12-2025	7.942	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Apple Inc.	31-12-2025	7.829	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Amazon.com	31-12-2025	6.142	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Alphabet Inc C	31-12-2025	4.640	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Meta Platforms A (US)	31-12-2025	3.234	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Broadcom Inc	31-12-2025	3.043	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Alphabet Inc A	31-12-2025	2.718	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Taiwan Semiconductor Manufacturing Co.	31-12-2025	2.326	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
Danica Pension	Bank of America Corp.	31-12-2025	2.180	x1_000_000	DKK	https://danica.dk/regnskaber/aarsrapporter/-/media/pdf/danica-pension/dk/regnskaber/2025/q4/danica-aktiebog-31,-d-,12,-d-,2025.pdf?rev=e0b54fb0ad5444169247290b8c5612b7&hash=E97AD365FDBF4E2AAD4242517BA94027
