Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Currency Code	Data Source URL
Pensioenfonds Detailhandel	Bundesrepublik Deutschland Bundesanleihe	Equity	2026-03-13	2.550.729.527	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	European Union	Equity	2026-03-13	700.568.781	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Finland Government Bond	Equity	2026-03-13	215.454.390	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	French Republic Government Bond OAT	Equity	2026-03-13	3.055.766.295	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Ireland Government Bond	Equity	2026-03-13	104.395.964	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Luxembourg Government Bond	Equity	2026-03-13	24.387.403	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Netherlands Government Bond	Equity	2026-03-13	626.775.212	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Republic of Austria Government Bond	Equity	2026-03-13	470.917.475	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	3M Co	Equity	2026-03-13	889.393	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Aareal Bank AG	Equity	2026-03-13	5.371.700	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Abanca Corp Bancaria SA	Equity	2026-03-13	2.082.255	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	ABB Finance BV	Equity	2026-03-13	780.895	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Abbott Ireland Financing DAC	Equity	2026-03-13	433.337	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	ABEILLE VIE SA d'Assurances Vie et de Ca	Equity	2026-03-13	231.072	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
