Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PensionDanmark	NVIDIA	United states	Semiconductors	2025-12-31	771.84	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Apple	United states	Technology Hardware, Storage & Peripherals	2025-12-31	648.27	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Alphabet	United states	Interactive Media & Services	2025-12-31	576.83	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Microsoft	United states	Systems Software	2025-12-31	561.81	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Taiwan Semiconductor Manufacturing	Taiwan	Semiconductors	2025-12-31	301.42	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Novo Nordisk	Denmark	Pharmaceuticals	2025-12-31	288.23	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	DSV	Denmark	Air Freight & Logistics	2025-12-31	269.44	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Meta Platforms	United states	Interactive Media & Services	2025-12-31	265.63	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Broadcom	United states	Semiconductors	2025-12-31	257.15	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Danske Bank	Denmark	Diversified Banks	2025-12-31	198.51	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ASML	Netherlands	Semiconductor Materials & Equipment	2025-12-31	168.87	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Vestas Wind Systems	Denmark	Heavy Electrical Equipment	2025-12-31	155.70	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	JPMorgan Chase	United states	Diversified Banks	2025-12-31	144.40	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Eli Lilly	United states	Pharmaceuticals	2025-12-31	125.77	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Genmab	Denmark	Biotechnology	2025-12-31	114.24	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Samsung Electronics	South Korea	Technology Hardware, Storage & Peripherals	2025-12-31	107.95	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Novonesis Novozymes B	Denmark	Specialty Chemicals	2025-12-31	107.12	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Roche	Switzerland	Pharmaceuticals	2025-12-31	104.87	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Visa	United states	Transaction & Payment Processing Services	2025-12-31	102.60	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Novartis	Switzerland	Pharmaceuticals	2025-12-31	98.45	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Berkshire Hathaway	United states	Multi-Sector Holdings	2025-12-31	96.81	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Tencent	Hong Kong	Interactive Media & Services	2025-12-31	95.39	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Mastercard	United states	Transaction & Payment Processing Services	2025-12-31	94.93	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Nestle	Switzerland	Packaged Foods & Meats	2025-12-31	91.82	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AP Moller - Maersk	Denmark	Marine Transportation	2025-12-31	90.32	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	SAP	Germany	Application Software	2025-12-31	89.57	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Johnson & Johnson	United states	Pharmaceuticals	2025-12-31	79.17	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Rheinmetall	Germany	Aerospace & Defense	2025-12-31	77.98	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	LVMH Moet Hennessy Louis Vuitton	France	Apparel, Accessories & Luxury Goods	2025-12-31	76.68	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Siemens	Germany	Industrial Conglomerates	2025-12-31	73.20	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Schneider Electric	France	Electrical Components & Equipment	2025-12-31	69.75	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Netflix	United states	Movies & Entertainment	2025-12-31	68.04	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Palantir Technologies	United states	Application Software	2025-12-31	67.58	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Carlsberg	Denmark	Brewers	2025-12-31	67.01	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Banco Santander	Spain	Diversified Banks	2025-12-31	63.78	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Alibaba	Hong Kong	Broadline Retail	2025-12-31	63.65	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AbbVie	United states	Biotechnology	2025-12-31	62.85	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Advanced Micro Devices	United states	Semiconductors	2025-12-31	62.76	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Allianz	Germany	Multi-line Insurance	2025-12-31	60.18	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Costco Wholesale	United states	Consumer Staples Merchandise Retail	2025-12-31	59.81	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Spotify Technology	Sweden	Movies & Entertainment	2025-12-31	59.72	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Bank of America	United states	Diversified Banks	2025-12-31	59.07	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Prosus	Netherlands	Broadline Retail	2025-12-31	57.08	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	UBS Group	Switzerland	Diversified Capital Markets	2025-12-31	56.50	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Orsted	Denmark	Renewable Electricity 	2025-12-31	53.22	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Airbus	France	Aerospace & Defense	2025-12-31	52.77	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	General Electric	United states	Aerospace & Defense	2025-12-31	52.37	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Coloplast	Denmark	Health Care Supplies	2025-12-31	52.19	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Procter & Gamble	United states	Household Products	2025-12-31	51.57	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Oracle	United states	Systems Software	2025-12-31	51.49	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Micron Technology	United states	Semiconductors	2025-12-31	51.43	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Iberdrola	Spain	Electric Utilities	2025-12-31	51.14	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	SK Hynix	South Korea	Semiconductors	2025-12-31	50.40	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	NKT	Denmark	Electrical Components & Equipment	2025-12-31	50.19	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Uber Technologies	United states	Passenger Ground Transportation	2025-12-31	49.89	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Deutsche Telekom	Germany	Integrated Telecommunication Services	2025-12-31	49.82	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Chevron	United states	Integrated Oil & Gas	2025-12-31	49.61	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Banco Bilbao Vizcaya Argentaria	Spain	Diversified Banks	2025-12-31	49.07	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Salesforce	United states	Application Software	2025-12-31	48.47	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
