Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Currency Code	Security - ISIN	Stock - Percent Ownership	Data Source URL
Pensionskassernes Administration a/s	3i group	2026-04-08	29.943.480,96	DKK	GB00B1YW4409	0,05 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	3m co	2026-04-08	69.705.183,21	DKK	US88579Y1010	0,11 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	3sbio	2026-04-08	2.481.429,43	DKK	KYG8875G1029	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aac technologies (cn)	2026-04-08	1.738.646,73	DKK	KYG2953R1149	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abb india	2026-04-08	2.404.637,38	DKK	INE117A01022	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abb ltd	2026-04-08	117.308.164,50	DKK	CH0012221716	0,18 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abbott laboratories	2026-04-08	158.126.513,72	DKK	US0028241000	0,24 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abbvie	2026-04-08	340.895.533,39	DKK	US00287Y1091	0,52 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abn amro bank a	2026-04-08	18.354.185,36	DKK	NL0011540547	0,03 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Absa group	2026-04-08	4.547.847,74	DKK	ZAE000255915	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abu dhabi comm bank	2026-04-08	8.409.932,67	DKK	AEA000201011	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abu dhabi islamic bk(ae)	2026-04-08	682.271,57	DKK	AEA000801018	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abu dhabi natl oil co	2026-04-08	6.158.306,07	DKK	AEA006101017	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Accenture a	2026-04-08	109.396.381,66	DKK	IE00B4BNMY34	0,17 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Acciona	2026-04-08	8.354.276,82	DKK	ES0125220311	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Accor	2026-04-08	7.360.928,31	DKK	FR0000120404	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Accton technology corp	2026-04-08	8.883.192,54	DKK	TW0002345006	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
