Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PME pensioenfonds	1011778 BC ULC / New Red Finance Inc	Canada	Consumer, cyclical	Corporate bonds	2026-01-30	30.055.148	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	1261229 BC Ltd	United States	Consumer, non-cyclical	Corporate bonds	2026-01-30	3.288.779	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	180 Medical Inc	United Kingdom	Consumer, non-cyclical	Corporate bonds	2026-01-30	3.341.379	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	360 Security Technology Inc	China	Communications	Shares	2026-01-30	342.153	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	37 Interactive Entertainment Network Technology Group Co Ltd	China	Technology	Shares	2026-01-30	217.963	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3i Group PLC	United Kingdom	Financial	Corporate bonds	2026-01-30	10.547.142	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3M Co	United States	Industrial	Shares	2026-01-30	16.775.705	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3M Co	United States	Industrial	Corporate bonds	2026-01-30	7.957.816	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3SBio Inc	China	Consumer, non-cyclical	Shares	2026-01-30	3.086.876	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	A2A SpA	Italy	Utilities	Corporate bonds	2026-01-30	10.222.073	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AAC Technologies Holdings Inc	China	Industrial	Shares	2026-01-30	1.949.723	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AAR Escrow Issuer LLC	United States	Industrial	Corporate bonds	2026-01-30	2.694.150	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABB Finance BV	Switzerland	Industrial	Corporate bonds	2026-01-30	15.953.716	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABB India Ltd	India	Industrial	Shares	2026-01-30	1.758.730	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABB Ltd	Switzerland	Industrial	Shares	2026-01-30	13.603.607	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abbott Laboratories	United States	Consumer, non-cyclical	Shares	2026-01-30	41.833.706	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AbbVie Inc	United States	Consumer, non-cyclical	Shares	2026-01-30	77.811.502	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AbbVie Inc	United States	Consumer, non-cyclical	Corporate bonds	2026-01-30	12.347.972	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abertis France SAS	France	Consumer, non-cyclical	Corporate bonds	2026-01-30	34.335.119	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abertis Infraestructuras Finance BV	Spain	Industrial	Corporate bonds	2026-01-30	30.107.151	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abertis Infraestructuras SA	Spain	Consumer, non-cyclical	Corporate bonds	2026-01-30	18.158.544	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABN AMRO Bank NV	Netherlands	Financial	Shares	2026-01-30	1.833.426	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABN AMRO Bank NV	Netherlands	Financial	Corporate bonds	2026-01-30	31.464.980	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Absa Group Ltd	South Africa	Financial	Shares	2026-01-30	7.235.509	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abu Dhabi Islamic Bank PJSC	United Arab Emirates	Financial	Shares	2026-01-30	4.434.216	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acadia Healthcare Co Inc	United States	Consumer, non-cyclical	Corporate bonds	2026-01-30	8.318.816	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accenture PLC	United States	Technology	Shares	2026-01-30	32.328.043	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acciona SA	Spain	Industrial	Shares	2026-01-30	610.310	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accor SA	France	Consumer, cyclical	Corporate bonds	2026-01-30	16.841.882	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accor SA	France	Consumer, cyclical	Shares	2026-01-30	1.257.529	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accton Technology Corp	Taiwan	Communications	Shares	2026-01-30	8.670.309	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ACEA SpA	Italy	Utilities	Corporate bonds	2026-01-30	5.146.719	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acef Holding SCA	Luxembourg	Financial	Corporate bonds	2026-01-30	23.405.801	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Achmea Bank NV	Netherlands	Financial	Corporate bonds	2026-01-30	6.027.014	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Achmea BV	Netherlands	Financial	Corporate bonds	2026-01-30	5.967.526	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acushnet Co	United States	Consumer, cyclical	Corporate bonds	2026-01-30	4.373.057	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AddTech AB	Sweden	Consumer, cyclical	Shares	2026-01-30	1.055.832	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	adidas AG	Germany	Consumer, cyclical	Shares	2026-01-30	8.138.912	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Adient Global Holdings Ltd	United States	Consumer, cyclical	Corporate bonds	2026-01-30	5.990.786	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Adler Pelzer Holding GmbH	Germany	Consumer, cyclical	Corporate bonds	2026-01-30	2.063.679	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Admiral Group PLC	United Kingdom	Financial	Shares	2026-01-30	19.180.472	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Adobe Inc	United States	Technology	Shares	2026-01-30	28.724.540	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ADT Security Corp/The	United States	Consumer, non-cyclical	Corporate bonds	2026-01-30	6.664.151	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Advanced Drainage Systems Inc	United States	Industrial	Corporate bonds	2026-01-30	11.866.164	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Advanced Info Service PCL	Thailand	Communications	Shares	2026-01-30	6.124.135	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Advanced Micro Devices Inc	United States	Technology	Shares	2026-01-30	89.879.548	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Advantage Sales & Marketing Inc	United States	Communications	Corporate bonds	2026-01-30	6.215.779	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Advantech Co Ltd	Taiwan	Technology	Shares	2026-01-30	2.091.715	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Advantest Corp	Japan	Technology	Shares	2026-01-30	23.198.611	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Adyen NV	Netherlands	Consumer, non-cyclical	Shares	2026-01-30	13.373.250	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AECOM	United States	Industrial	Corporate bonds	2026-01-30	13.893.403	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AECOM	United States	Industrial	Shares	2026-01-30	2.384.528	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aegon Ltd	United States	Financial	Shares	2026-01-30	1.179.344	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aena SME SA	Spain	Industrial	Corporate bonds	2026-01-30	12.423.551	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aena SME SA	Spain	Industrial	Shares	2026-01-30	2.399.746	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aeon Co Ltd	Japan	Consumer, non-cyclical	Shares	2026-01-30	7.526.972	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AerCap Holdings NV	Ireland	Financial	Shares	2026-01-30	3.029.187	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aeroporti di Roma SpA	Italy	Industrial	Corporate bonds	2026-01-30	13.679.692	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aeroports de Paris SA	France	Industrial	Corporate bonds	2026-01-30	24.653.829	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aeroports de Paris SA	France	Industrial	Shares	2026-01-30	518.344	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Aflac Inc	United States	Financial	Shares	2026-01-30	10.949.728	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AGC Inc	Japan	Industrial	Shares	2026-01-30	1.551.504	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AGCO International Holdings BV	United States	Industrial	Corporate bonds	2026-01-30	5.765.748	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Ageas SA/NV	Belgium	Financial	Shares	2026-01-30	1.189.422	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
