Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Currency Code	Data Source URL
Rail & OV	Microsoft Corp	2025-06-18	424262240	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	NVIDIA Corp	2025-06-18	191400275	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Apple Inc	2025-06-18	191336658	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Ecolab Inc	2025-06-18	112819140	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Schneider Electric SE	2025-06-18	85533472	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Booking Holdings Inc	2025-06-18	85357983	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Visa Inc	2025-06-18	85321644	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Amazon.com Inc	2025-06-18	82237881	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Moody's Corp	2025-06-18	78370963	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Iberdrola SA	2025-06-18	76010923	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Eaton Corp PLC	2025-06-18	76002877	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Cisco Systems Inc	2025-06-18	75718372	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Amphenol Corp	2025-06-18	75598689	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Johnson & Johnson	2025-06-18	71623142	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	TJX Cos Inc/The	2025-06-18	71226099	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	SAP SE	2025-06-18	68193108	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	American Express Co	2025-06-18	65389243	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Eli Lilly & Co	2025-06-18	65028419	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Analog Devices Inc	2025-06-18	62768747	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Toyota Motor Corp	2025-06-18	61947073	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Adobe Inc	2025-06-18	58294520	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Enel SpA	2025-06-18	57998698	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Autodesk Inc	2025-06-18	57838953	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Accenture PLC	2025-06-18	57812805	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	Trane Technologies PLC	2025-06-18	55523774	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
Rail & OV	State Street Corp	2025-06-18	55201911	EUR	https://railov.nl/over-ons/beleggen/waarin-beleggen/
