Shareholder - Name	Issuer - Name	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Currency Code	Data Source URL
Sampension	31 GROUP PLC	GBOOB1YW4409	2025-12-31	26.369.936	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	31 INFRASTRUCTURE PLC	JEOOBFSFX167	2025-12-31	168.190.457	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	3M CO.	US88579Y1010	2025-12-31	146.133.997	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABB INDIA LTD	INE117A01022	2025-12-31	7.330.208	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABB LTD-REG	CH0012221716	2025-12-31	121.898.265	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABBOTT LABORATORIES	US0028241000	2025-12-31	122.749.151	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABBVIE INC	US00287Y1091	2025-12-31	329.962.151	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABN AMRO GROUP NV-CVA	NLO011540547	2025-12-31	20.440.570	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABSA GROUP LTD	ZAE000255915	2025-12-31	28.843.240	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABU DHABI COMMERCIAL BANK	AEA000201011	2025-12-31	54.623.470	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ABU DHABI ISLAMIC BANK	AEA000801018	2025-12-31	28.996.877	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ACCENTURE PLC-CL A	IEQOB4BNMY34	2025-12-31	122.335.166	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ACCIONA SA	ES0125220311	2025-12-31	37.827.884	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
Sampension	ACCTON TECHNOLOGY CORP	TW0002345006	2025-12-31	86.234.213	DKK	https://www.sampension.dk/om-sampension/ansvarlighed/ansvarlige-investeringer/aabenhed-paa-esg-omraadet/
