Shareholder	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
Pensioenfonds Zorg & Welzjin	Abénex Capital	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Acon Investments	Fonds	2025-12-31	50	x1_000_000	EUR	0.15	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Acon Investments	Fonds	2025-12-31	50	x1_000_000	EUR	0.2	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	TDR Capital	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.25	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Adelis Equity Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Adelis Equity Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Adelis Equity Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Adelis Equity Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Permira	Co-Investering	2025-12-31	50	x1_000_000	EUR	1.0	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	ADM Capital	Fonds	2025-12-31	50	x1_000_000	EUR	0.25	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Advent International Corp.	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Advent International Corp.	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Advent International Corp.	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Affinity Equity Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Affinity Equity Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Affinity Equity Partners	Fonds	2025-12-31	100	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	African Development Partners	Fonds	2025-12-31	100	x1_000_000	EUR	0.15	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	ARA Partners	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.35	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Alpha Capital Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	PAI Partners	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
