Shareholder	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	81.115.645	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	26.901.135	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	35.327.087	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	13.135.235	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	52.897.625.116	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	2.632.426.543	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	2.702.441.852	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	4.228.971.367	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	4.311.383.221	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	4.165.751.014	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	11.614.081.466	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	11.616.036.193	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Aandelen	2025-12-31	11.618.097.781	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	14.923.463.824	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	3.710.885.899	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	537.744.341	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	3.190.077.093	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	1.860.173.958	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	3.717.949.223	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Krediet	2025-12-31	1.907.420.404	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Beursgenoteerd vastgoed	2025-12-31	4.698.768.426	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Beursgenoteerd vastgoed	2025-12-31	4.914.976.420	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Currency overlay	2025-12-31	305.341.429	x1_000_000	EUR	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
