Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
LACERA	AGILENT TECHNOLOGIES INC	EQUITY	US00846U1016	2025-03-31	804,354.48	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ALIGN TECHNOLOGY INC	EQUITY	US0162551016	2025-03-31	710,421.92	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	AMERICAN EXPRESS CO	EQUITY	US0258161092	2025-03-31	845,086.05	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ANALOG DEVICES INC	EQUITY	US0326541051	2025-03-31	884,726.29	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ANSYS INC	EQUITY	US03662Q1058	2025-03-31	874,655.28	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	API GROUP CORP	EQUITY	US00187Y1001	2025-03-31	925,468.80	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ARES MANAGEMENT CORP A	EQUITY	US03990B1017	2025-03-31	771,901.65	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ASHTEAD GROUP PLC	EQUITY	GB0000536739	2025-03-31	801,808.06	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ASM INTERNATIONAL NV	EQUITY	NL0000334118	2025-03-31	722,431.66	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ASSA ABLOY AB B	EQUITY	SE0007100581	2025-03-31	941,578.10	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	AUTODESK INC	EQUITY	US0527691069	2025-03-31	825,455.40	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	BE SEMICONDUCTOR INDUSTRIES	EQUITY	NL0012866412	2025-03-31	699,322.69	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	BIO TECHNE CORP	EQUITY	US09073M1045	2025-03-31	758,730.83	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	BROOKFIELD ASSET MGMT A	EQUITY	CA1130041058	2025-03-31	832,483.59	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	DOLLAR	CASH	CANADIAN	2025-03-31	7,522.65	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	CARLISLE COS INC	EQUITY	US1423391002	2025-03-31	860,443.50	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	CCC INTELLIGENT SOLUTIONS HO	EQUITY	US12510Q1004	2025-03-31	716,566.62	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	CERTARA INC	EQUITY	US15687V1098	2025-03-31	796,920.30	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	COLOPLAST B	EQUITY	DK0060448595	2025-03-31	893,489.74	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	COMPASS GROUP PLC	EQUITY	GB00BD6K4575	2025-03-31	920,834.81	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	COOPER COS INC/THE	EQUITY	US2166485019	2025-03-31	854,718.55	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	COSTAR GROUP INC	EQUITY	US22160N1090	2025-03-31	1,032,049.98	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	CRODA INTERNATIONAL PLC	EQUITY	GB00BJFFLV09	2025-03-31	829,162.33	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	CVC CAPITAL PARTNERS PLC	EQUITY	JE00BRX98089	2025-03-31	811,759.55	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	KRONE	CASH	DANISH	2025-03-31	3,246.51	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	DEXCOM INC	EQUITY	US2521311074	2025-03-31	817,909.33	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	DOLBY LABORATORIES INC CL A	EQUITY	US25659T1079	2025-03-31	958,580.16	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	DOMINO S PIZZA INC	EQUITY	US25754A2015	2025-03-31	1,020,438.45	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	DSV A/S	EQUITY	DK0060079531	2025-03-31	846,570.72	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	EDWARDS LIFESCIENCES CORP	EQUITY	US28176E1082	2025-03-31	912,015.84	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	ENTEGRIS INC	EQUITY	US29362U1043	2025-03-31	824,061.60	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	EPIROC AB A	EQUITY	SE0015658109	2025-03-31	1,071,675.16	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	EXLSERVICE HOLDINGS INC	EQUITY	US3020811044	2025-03-31	983,809.19	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	EXPERIAN PLC	EQUITY	GB00B19NLV48	2025-03-31	979,015.54	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	FERGUSON ENTERPRISES INC	EQUITY	US31488V1070	2025-03-31	860,595.33	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	FORTINET INC	EQUITY	US34959E1091	2025-03-31	949,893.68	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	GARTNER INC	EQUITY	US3666511072	2025-03-31	807,579.76	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	GLOBAL E ONLINE LTD	EQUITY	IL0011741688	2025-03-31	748,650.00	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	HALEON PLC	EQUITY	GB00BMX86B70	2025-03-31	995,514.58	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	HALOZYME THERAPEUTICS INC	EQUITY	US40637H1095	2025-03-31	1,212,453.81	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	HOLOGIC INC	EQUITY	US4364401012	2025-03-31	798,747.87	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	HYATT HOTELS CORP CL A	EQUITY	US4485791028	2025-03-31	727,405.00	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	IMCD NV	EQUITY	NL0010801007	2025-03-31	830,558.50	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	INTERCONTINENTAL EXCHANGE IN	EQUITY	US45866F1049	2025-03-31	1,079,160.00	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	INTUIT INC	EQUITY	US4612021034	2025-03-31	910,547.17	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	INTUITIVE SURGICAL INC	EQUITY	US46120E6023	2025-03-31	885,047.49	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	IQVIA HOLDINGS INC	EQUITY	US46266C1053	2025-03-31	836,367.20	x1	USD	https://www.lacera.gov/accountability/investment-holdings
LACERA	YEN	CASH	JAPANESE	2025-03-31	3,818.38	x1	USD	https://www.lacera.gov/accountability/investment-holdings
