Issuer - Name	Security - Market Value - Amount	Shareholder - Name	Security - Report Date	Security - Market Value - Currency Code	Data Source URL
AAC Technologies Holdings Inc	1.380.165	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
ABB India Ltd	1.150.578	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
ABB Ltd	40.190.237	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Abbott Laboratories	72.585.737	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
AbbVie Inc	135.188.960	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
ABN AMRO Bank NV	5.429.823	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Absa Group Ltd	5.030.156	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Abu Dhabi Islamic Bank PJSC	3.239.077	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Accenture PLC	56.116.494	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Acciona SA	1.779.807	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Accor SA	3.769.888	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Accton Technology Corp	7.193.145	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
ACM Research Shanghai Inc	329.459	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
ACS Actividades de Construccion y Servicios SA	6.124.897	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
AddTech AB	3.142.671	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
adidas AG	11.472.747	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Admiral Group PLC	3.739.289	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Adobe Inc	49.980.521	Metal and Technology Pension Fund	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
