,Company,Market Value (x €1.000)
0,Apple  Inc,353.689
1,Microsoft   Corp,305.495
2,NVIDIA   CORP,274.670
3,Taiwan   Semiconductor    Manufacturing,241.295
4,Amazoncom      Inc,224.131
5,  DigiTech  Inc,9.799
6,  Security  Technology   Inc,9
7,M   Co,7.411
8,S,1.204
9,ABB  India  Ltd,4.956
10,ABB  LTD,13.058
11,Abbott   Laboratories,8.586
12,AbbVie   Inc,25.546
13,Abertis  Infraestructuras  SA,9.740
14,Absa  Group   Ltd,4.049
15, Outdoors   Inc,2.845
16,Accenture   PLC,15.959
17,Accton   Technology   Corp,12.068
18,ACS  Actividades  de  Construccio,3.796
19,Adidas  AG,5.767
20,Admiral   Group  PLC,348
21,Adp,3.956
22,Adtalem   Global  Education   Inc,2.650
23,Advanced    Micro  Devices  Inc,7.870
24,Advantest   Corp,6.547
25,Adyen   NV,507
26,Aena  SA,2.850
27,Aeon   Co Ltd,1.950
28,Affiliated Managers    Group  Inc,2.211
29,Aflac Inc,16.983
30,Agco  Corp,11.741
31,Ageas  Hybrid  Financing   SA,154
32,AGILENT   TECHNOLOGIES      INC,2.618
33,Eagle   Mines   Ltd,347
34,Aier Eye  Hospital  Group  Co  Ltd,2 4
35,Air Liquide  SA,20.661
36,AIRBNB   INC,1.675
37,Aisin Seiki Co Ltd,2.617
38,Ajinomoto    Co Inc,2.385
39,Aker  BP ASA,9.602
40,Akzo  Nobel  NV,6.196
41,Albertsons   Cos Inc,3.977
42,ALCON    INC,19.994
43,Alexandria   Real Estate,1.803
44,Alfa SAB  de  CV,1.947
45,Alfresa  Holdings  Corp,745
46,Alibaba  Group   Holding  Ltd,33.442
47,Alior Bank  SA,213
48,All Nippon  Airways   Co Ltd,354
49,Allfunds  Group   Plc,6.867
50,Allianz SE,1.209
51,Allison Transmission    Holdings,8.536
52,ALLSTATE   CORP,8.778
53,ALLY  FINANCIAL    INC,2.194
54,Alnylam   Pharmaceuticals    Inc,678
55,Alphabet   Inc,176.529
56, Queensland,2.759
57,Alstom   SA,4.282
58,Amada    Co Ltd,1.428
59,Amadeus    Capital Markets,28.583
60,Amazoncom      Inc,224.131
61,America   Movil  SAB  de CV,9.748
62, ,2.293
63,American   Apparel   Inc,16.191
64,American   Financial  Group,4.778
65,American   Tower   Corp,503
66,Ameriprise   Financial Inc,9.134
67,Amerisourcebergen      Corp,4.081
68,Ametek   Inc,8.579
69,Amgen    Inc,3.558
70,Amlogic   Shanghai  Co  Ltd,2 9
71,AMMB     Holdings  Bhd,1.193
72,Amphenol    Corp,22.099
73,"Amplifon   S,p,A,",487
74,Amvis   Holdings  Inc,745
75,ANALOG    DEVICES,16.518
76,Andritz  AG,935
