Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
Vervoer	Apple  Inc	31-12-2024	353.689	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Microsoft   Corp	31-12-2024	305.495	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	NVIDIA   CORP	31-12-2024	274.670	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Taiwan   Semiconductor    Manufacturing	31-12-2024	241.295	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amazoncom      Inc	31-12-2024	224.131	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	  DigiTech  Inc	31-12-2024	9.799	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	  Security  Technology   Inc	31-12-2024	9	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	M   Co	31-12-2024	7.411	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	S	31-12-2024	1.204	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ABB  India  Ltd	31-12-2024	4.956	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ABB  LTD	31-12-2024	13.058	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Abbott   Laboratories	31-12-2024	8.586	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	AbbVie   Inc	31-12-2024	25.546	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Abertis  Infraestructuras  SA	31-12-2024	9.740	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Absa  Group   Ltd	31-12-2024	4.049	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	 Outdoors   Inc	31-12-2024	2.845	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
